,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
543,Amethyst Partners,Data Scientist - SQL / Python,Gurgaon,"Our client is a leading US-based statistical trading and investment company. Due to business growth, they are looking for Data Scientist to join their growing team in Gurgaon.
Key Responsibilities:
Parse and analyse large data sets to develop quantitative strategies signal
Create data visualizations to gain insight on large data sets, such as order-by-order tick data, present findings and results
Developing machine learning algorithms and identify the pattern in the large data sets
Work on discovering and obtaining new sources of data
Key Requirements:
Show More
Report",₹45L - ₹75L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
544,Firstcareer,Data Science/Analyst Instructor,Indore,"Responsibilities:
We are looking for Instructors who can take sessions on the following modules of Data Science and Data Analysis :
Excel
SQL
Python
Power BI
Machine learning
Deep Learning
Keeping a check on the interactivity of the team.
Show More
Report",₹7T - ₹8T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
545,"Spark Solutions
4.5",Data Science Engineer,Hyderābād,"Experience using machine learning libraries or platforms such as Tensorflow,Scikit-Learn,Spark ML,Python,SQL,Redshift,and knowledge of AWS environment
Perform online reporting,collection and analysis of digital metrics,process large clickstream data sets from Google Analytics / Big query to provide online user experience improvementExperience using machine learning libraries or platforms such as Tensorflow, Scikit-Learn, Spark ML, Python, SQL, Redshift, and knowledge of AWS environment.
Synthesize large volumes of data with attention to granular details and present findings and recommendations to senior-level stakeholders using advanced modelling algorithm.
Perform online reporting, collection and analysis of digital metrics, process large clickstream data sets from Google Analytics/Big query to provide online user experience improvement.
Show More
Report",₹5L - ₹8L,1 to 50 Employees,Company - Private,Information Technology,Computer Hardware Development,2014,Unknown / Non-Applicable
546,ThinkAI India Consulting Pvt Ltd,Data Analyst,Indore,"Responsibilities:
· Proficiency in SQL for data extraction, manipulation, and querying from relational databases.
· Strong programming skills in Python for data analysis, manipulation, and automation tasks.
· Advanced proficiency in Microsoft Excel and Google Sheets for data analysis and reporting.
· Experience with data visualization tools such as Power BI, Tableau, or similar platforms to create insightful and interactive dashboards.
· Strong analytical and problem-solving skills, with the ability to work with complex and unstructured datasets.
· Excellent communication skills, both written and verbal, with the ability to present findings to non-technical stakeholders.
Show More
Report",₹12L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
547,Iplotlabs,"Data science, python, AI and SQL training",Chennai,"We are enrolling candidates for providing software training and placement references.
Do project and get certification in software course with internship certificate
Courses offered:
Python, SQL, Data science with python, Data science with AI, Antenna design and Full stack developer
Eligibility: Any degree
Contact: 9790951108
Job Types: Full-time, Part-time, Fresher, Internship, Freelance
Show More
Report",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
548,ONLEI Technologies,Data Science Trainer,Remote,"As a Data Science & Analytics trainer, you will be responsible for training college students , freshers and Professionals . We are looking to hire a Data Science Trainer .
Freshers can Apply
Work From Home/Office
Show More
Report",#N/A,201 to 500 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
549,"X-YUG Technologies
2.1",Artificial Intelligence (AI) Engineer,India,"We are seeking a highly skilled and motivated AI Engineer to join our dynamic team and contribute to the development and implementation of cutting-edge artificial intelligence solutions. As an AI Engineer, you will play a pivotal role in designing, building, and deploying AI-powered applications that solve complex problems and enhance user experiences.
Key Responsibilities:
1. Algorithm Development: Design, develop, and optimize machine learning and deep learning algorithms to solve a wide range of problems, such as natural language processing, computer vision, recommendation systems, and more.
2. Model Training and Evaluation: Train, fine-tune, and validate machine learning models using large datasets. Implement techniques for model evaluation, validation, and testing to ensure high performance and reliability.
models.
libraries and frameworks (e.g., TensorFlow, PyTorch, scikit-learn).
techniques.
documentation.
technologies.
or other specialized AI domains.
Show More
Report",₹1L,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
550,"American Express Global Business Travel
3.9",BI Analyst,India,"Amex GBT is a place where colleagues find inspiration in travel as a force for good and – through their work – can make an impact on our industry. We’re here to help our colleagues achieve success and offer an inclusive and collaborative culture where your voice is valued.

Ready to explore a career path? Start your journey.
American Express Global Business Travel (GBT) equips companies of all sizes with the insights, tools, services and expertise they need to keep their travelers informed, focused and productive while on the road. With approximately 18,000 employees and operations in nearly 140 countries worldwide, American Express GBT empowers customers to take control of their travel programs, optimizing the return on their travel and meetings investments, while, more importantly, providing extraordinary traveler care.
American Express Global Business Travel (GBT) is a global leader in business travel and meetings management committed to helping business succeed through cost-effective program management, world-class customer service, and enhanced traveller productivity support worldwide. GBT brings the talent, tools, and management consulting acumen needed to help manage companies’ T&E spend and maximize the return on their investments in employee travel and other areas of indirect cost. Specialized expertise includes: T&E policy, sourcing and supplier management, change management and compliance management, business intelligence, on-going travel category management, payment and expense reimbursement management, and related business process outsourcing (BPO) best practices.

India - Virtual Location

Show More
Report",#N/A,10000+ Employees,Company - Public,Hotel & Travel Accommodation,Travel Agencies,1915,Unknown / Non-Applicable
551,Midas Fintech Solutions Private Limited,Artificial Intelligence and Machine Learning Trainee,Mumbai,"inPosition Overview:
As an Artificial Intelligence and Machine Learning Trainee, you will have the opportunity to work closely with our AI and ML experts to gain hands-on experience in the development, implementation, and refinement of cutting-edge AI and ML solutions. The trainee period will provide you with valuable exposure to real-world projects, data analysis, algorithm development, and collaboration with cross-functional teams.
Responsibilities:
Data Preprocessing and Analysis: Assist in collecting, cleaning, and preparing data for AI and ML models. Perform exploratory data analysis to gain insights into data patterns and quality.
Algorithm Development: Collaborate with senior team members to design, implement, and refine machine learning algorithms. This may include tasks like feature engineering, model selection, and hyperparameter tuning.

Show More
Report",₹30T - ₹50T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
552,Findability Sciences,Power BI - Snowflake consultant,Remote,"Role : Power BI - Snowflake Consultant
Location : Remote
Shift : 1:30 PM till 9:30 or 10:30 PM IST for US team coordination
Experience : 4+ years
Looking for Strong Power BI resource with Snowflake developer skillsets (Snowflake can be a developer skill set).
Work distribution will be more on Power BI and less on Snowflake.
On the AWS connect reporting project, the resource will perform the following functions:


Show More
Report",₹5L - ₹16L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
553,Strivik Business Solutions Private Limited,Data Analyst,Mumbai,"Research Analyst Job Description Template
We are looking for an analytical and detail-oriented research analyst to assist in improving the operations and decision-making of our business. The research analyst's responsibilities include researching, collecting, analyzing, and interpreting data, and using the data to guide the business's decision-making. A research analyst should be prepared to work in various sectors, such as marketing, business operations, and finance.
To be a successful research analyst, you should have excellent mathematical, critical thinking, and communication skills. You should be flexible and able to work independently or in a team.
Business Research & Data Analyst Responsibilities:
· Analyzing past operations' results and performing variance analyses.

Show More
Report",₹2L - ₹5L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
554,"Skill-Lync
3.6",Data Science Masters course,Sāngli,"Wanting to Sell my Course which I have taken from Skill Lync.
Anyone who wishes to do Masters course in Data Science and Data Analytics can connect me.
The course on website with premium & lifetime access is 2.75 Lakh.
Will transfer the rights through company one we crack the deal.
You will get the master in cheap.
You can also switch the masters if you want it in other verticals like electro ics mechanical or civil courses. Whichever is available on the Skill lync platform.
Job Type: Full-time

Show More
Report",₹80T - ₹1L,1001 to 5000 Employees,Company - Private,Education,Colleges & Universities,2018,Unknown / Non-Applicable
555,"AceNgage Infoservices
4.0",Data Analytics - Power BI Specialist,Bengaluru,"Essential functions and responsibilities:
 Design and develop dashboards that cater to the business requirement.
 Create visual storyboard(s) to highlight business metrics and KPI’s in Power BI including usage of DAX language
 Break down the business problems into workable dashboard models. Design layouts to cater to the key metrics.
 Create innovative, interactive dashboards and scorecards for key performance indicators that are tailored to customers
 Build intuitive dashboards to illustrate results from predictive models for advanced analytics projects

Show More
Report",₹5L - ₹15L,1 to 50 Employees,Company - Private,Management & Consulting,Business Consulting,2007,$1 to $5 million (USD)
556,"F(x) Data Labs PVT LTD
4.6",Data Science Engineer,Ahmedabad,"We are looking for a Data Scientist who will support our product, sales, leadership and marketing teams with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have knowledge of using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.
Responsibilities for Data Scientist
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.


Show More
Report",₹5L - ₹7L,1 to 50 Employees,Company - Private,Information Technology,Information Technology Support Services,2015,Unknown / Non-Applicable
557,"Technip Energies
3.9",Graduate Trainee - Data Analytics,Noida,"About Technip Energies
At Technip Energies, we believe in a better tomorrow and we believe we can make tomorrow better. With approximately 15,000 talented women and men, we are a global and leading engineering and technology company, with a clear vision to accelerate the energy transition. Designing and delivering added value energy solutions is what we do.
Global Business Services India
At Technip Energies, we are continually looking for ways to become more efficient, and ways to improve our quality, customer focus and cost competitiveness. The Global Business Services (GBS) organization is key to executing this strategy, by standardizing our processes and centralizing our services.

Our Vision : A customer focused, cost efficient, innovative, and high performing organization that drives functional excellence.

Show More
Report",₹5L - ₹9L ,10000+ Employees,Company - Private,"Energy, Mining, Utilities",Energy & Utilities,2021,$5 to $10 billion (USD)
558,S INFOZ SOLUTIONS PVT. LTD,DATA SCIENCE TRAINER,Hyderābād,"PERSON AS TO TRAIN STUDENTS ON PYTHON AND DATA SCIENCE.
Job Type: Full-time
Salary: From ₹50,000.00 per month
Benefits:
Health insurance
Provident Fund
Schedule:
Day shift

Show More
Report",₹50T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
559,"Mondelēz International
4.0",Data Science Manager - Forecasting,Remote,"Job Description
Are You Ready to Make It Happen at Mondelēz International?
Join our Mission to Lead the Future of Snacking. Make It With Pride.
Together with analytics team leaders you will support our business with excellent data models to uncover trends that can drive long-term business results.
How you will contribute
You will:
Work in close partnership with the business leadership team to execute the analytics agenda
Regular
Analytics & Modelling
Analytics & Data Science
Show More
Report",#N/A,1001 to 5000 Employees,Company - Public,Manufacturing,Food & Beverage Manufacturing,2012,$10+ billion (USD)
560,8848 Digital LLP,Machine Learning Engineer,Remote,"Degree in Computer Science, Data Science or a related field.
Knowledge of NLP, Computer Vision and document information extraction.
Proven experience with data analysis, wrangling, and transformation.
Extensive experience with Python and libraries such as Pandas, Scikit-Learn, Py Torch, Hugging Face, MM detection and MM Classification.
Demonstrated experience in building, training, and optimizing deep learning models to resolve NLP task such as Token Classification and Text Classification using the Hugging Face library.
Demonstrated experience in training Computer Vision models for Image Classification, Object Detection and Segmentation.
Understanding of key machine learning concepts and metrics, such as F-measure.
Proficient in using Google Co lab and Weights & Biases for building and tracking ML experiments.


Show More
Report",₹12L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
561,Brave AI Lab,Python Interns,India,"About Us
Brave AI Lab’s mission is to imagine and create exceptional AI robots that enrich people’s lives. Building smart machines that can automate intelligent tasks. We see the products of this work as the next step in the human history of creating machines to reduce the danger, repetition, and physically demanding aspects of work. We're a multidisciplinary team of professionals working every day to make that vision a reality, building a commercial company from our roots in AI robotics research and development.
We need a Robotic Engineer to design, build, and optimize robots. This position requires an academic and/or practical background in computer science, and mechanical and electronic engineering. Experience integrating mechanical elements with electronic controllers and programming is a huge advantage.

Major Responsibilities
Show More
Report",#N/A,1 to 50 Employees,Company - Private,Information Technology,Information Technology Support Services,2020,$1 to $5 million (USD)
562,PROTIVITI INDIA MEMBER PRIVATE LIMITED,Power BI Analyst,Mumbai,"Job Description: Power BI Analyst for Logistics Industry
As a Power BI Analyst specializing in the logistics industry, you will play a crucial role in leveraging data-driven insights to optimize operations, improve decision-making, and enhance overall efficiency within the logistics and supply chain functions. You will be responsible for transforming raw data into meaningful visualizations and reports that facilitate strategic planning, performance monitoring, and resource allocation. Your analytical skills, domain expertise, and technical proficiency with Power BI will contribute to the organization's success in achieving its logistics objectives.
Key Responsibilities:
Data Integration and Modelling:
Collaborate with cross-functional teams to gather data from various sources, including internal systems and external partners.
Show More
Report",₹5L - ₹15L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
563,Innomatics Research Labs,Data Science Instructor,Hyderābād,"Every day 2 Data Science sessions will be assigned.
Need to mentor the students for the projects.
Deliver Data Science course demo to the new participants whenever needed.
Check for the new updates & suggest to implement for Data Science
Course Curriculum.
Preparation of assessment questions
Solving the students queries.
Handling queries of potential customers about the course.

Show More
Report",₹14L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
564,Innomatics Research Labs,Data Science Intern,Hyderābād,"Understanding of machine-learning and data science life cycle.
Expert knowledge of Python and Python libraries responsible for Data Analysis, Machine Learning and Deep Learning is required
Experience using business intelligence tools (e.g. Tableau) and web frameworks (e.g. Flask)
Analytical mind and business acumen
Roles and Responsibilities
Design and develop engaging content for the learners.
Good at managing interactive sessions.

Show More
Report",₹2L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
565,The Insights Machine,Data Scientist Intern,Mumbai,"Role - Data Scientist Intern
Location - Operate Remotely ( WORK FROM HOME)
Selected intern's day-to-day responsibilities include:
Work on the development and enhancement of our exciting in-house NLP products.
Working on client projects involving interesting real-world problems from the FinTech domain, Legal Tech domain, clinical domain, etc using Python libraries
Responsible for researching the solutions to industry-level data science problems
Creating and maintaining technical documentation
Work on cutting-edge cloud technologies like Snowflake, Azure Databricks, Azure Data Factory, etc
Exposure to GCP, AWS, Firebase


Show More
Report",₹10T - ₹15T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
566,"EY
3.9",Data Analytics - Contractors,Cochin,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

The opportunity

We’re looking for an incumbent who will be responsible for the review of deliverables and ensuring that quality and productivity targets are met.

Your key responsibilities


















Show More
Report",₹3L - ₹5L ,Unknown,Unknown,#N/A,#N/A,#N/A,Unknown / Non-Applicable
567,Von Services,Artificial Intelligence Intern,Cochin,"Job Title - AI Trainer(Artificial Intelligence Trainer)
Work location - Kaloor, Cochin
Salary - 30 k - 40 K
We are seeking an enthusiastic and knowledgeable AI Trainer to join our team and the ideal candidate should have a deep understanding of machine learning concepts, Data Science concepts , NLP, Deep learning and a passion for training students and to bring the best out of them .
Bachelor's or Master's degree in Computer Science, Data Science, Machine Learning, or a related field.
Strong understanding of machine learning concepts, algorithms, and training techniques.
Proficiency in programming languages like Python.

Show More
Report",₹30T - ₹40T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
568,"Accenture
4.1",Applied Intelligence - Marketing - Data Science - 07,India,"About Accenture:
Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries,we offer Strategy and Consulting,Technology and Operations Services, and Accenture Song - all powered by the world's largest network of Advanced Technology and Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com

CL-7 JD (8-10 Years of experience)
Data Science conversational manager is expected to manage the functional designing/improving the solution architectures. He/She is responsible for building the high-level flow of conversational interfaces and virtual agents for end clients. He/She is responsible to design the project framework and solution architecture. He/She is also expected to provide technical assistance to the team in developing, deploying and managing the solution while maintaining the industry standards in proposing and developing the solutions. As part of this role, the candidate is expected to have expert level experience and be well versed in the following:
Must Have :-

NA
Show More
Report",#N/A,10000+ Employees,Company - Public,Management & Consulting,Business Consulting,1989,$10+ billion (USD)
569,VILVAH STORE PRIVATE LIMITED,Data Analyst,Coimbatore,"Key Responsibilities:
● Collaborate with marketing, sales, operations, and product teams to understand business objectives and data requirements.
● Collect, clean, and organize data from diverse sources, ensuring data accuracy and consistency.
● Analyze large datasets to extract meaningful insights, trends, and patterns using statistical methods and data visualization tools.
● Develop and maintain regular reports, dashboards, and KPIs to track performance metrics and key business indicators.
● Identify opportunities for process improvements, cost savings, and revenue optimization through data analysis.

Show More
Report",₹40T - ₹50T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
570,SimpleTherapy Inc.,Data Analyst - BI and Analytics,Remote,"Are you passionate about leveraging data to drive strategic decision-making? Do you have experience in Business Intelligence (BI), analytics, and data engineering? If so, we have an exciting opportunity for you to join our team as a Data Analyst and play a pivotal role in shaping the success of our BI, analytics, and engineering projects.
Location: India (Remote)
Position Type: Contract to Hire (Opportunity to convert into permanent full-time role)
Responsibilities:
Collaborate with cross-functional teams and stakeholders to define data requirements and deliver actionable insights.
Utilize BI and analytics tools such as Looker, Power BI, Tableau, or similar platforms to create meaningful visualizations and dashboards.
Show More
Report",₹8L - ₹12L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
571,Livello India,Data Science Engineer (AI and Business Intelligence),Hyderābād,"Company Profile:
Livello India Private Limited is a start-up company with its parent company based in Germany in the city of Dusseldorf founded in 2016. Our vision is to revolutionize the domain of retail technology, aiming to automate and simplify our customers' shopping experience. We initiated our R&D division in India with the goal of strengthening and expanding our R&D team. Our aim is to develop products that ensure a quick and hassle-free shopping experience for our customers. Our areas of expertise include full-stack development, IoT, cloud computing, data science, computer vision, embedded systems, test automation, electronics, and mechanical engineering
Join our journey:Livello Technologies
Core Responsibilities:


Show More
Report",₹8L - ₹11L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
572,"Shell
4.1",Data Science Analyst,India,"General Position Definition
Finance & Data Operations Data Science Team is tasked with delivering tangible value to business units within Shell through data-driven decision making.
This position is part of Finance & Data Operations Data Science team leading a team of data scientists delivering advanced analytics projects for different businesses within Shell. The individual will join a growing global data science team spanning both on/offshore.
Incumbent is responsible for supporting the development of analytical models for projects collaborating with different business stakeholders & other partners and working across a range of technologies and tools.
The ideal candidate has good background in quantitative skills (like statistics, mathematics, advanced computing) and has applied those skills in solving real world problems
Show More
Report",#N/A,10000+ Employees,Company - Public,"Energy, Mining, Utilities",Energy & Utilities,1907,$10+ billion (USD)
573,Amethyst Partners,Data Scientist - SQL / Python,Gurgaon,"Our client is a leading US-based statistical trading and investment company. Due to business growth, they are looking for Data Scientist to join their growing team in Gurgaon.
Key Responsibilities:
Parse and analyse large data sets to develop quantitative strategies signal
Create data visualizations to gain insight on large data sets, such as order-by-order tick data, present findings and results
Developing machine learning algorithms and identify the pattern in the large data sets
Work on discovering and obtaining new sources of data
Key Requirements:
Show More
Report",₹45L - ₹75L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
574,Firstcareer,Data Science/Analyst Instructor,Indore,"Responsibilities:
We are looking for Instructors who can take sessions on the following modules of Data Science and Data Analysis :
Excel
SQL
Python
Power BI
Machine learning
Deep Learning
Keeping a check on the interactivity of the team.
Show More
Report",₹7T - ₹8T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
575,"Spark Solutions
4.5",Data Science Engineer,Hyderābād,"Experience using machine learning libraries or platforms such as Tensorflow,Scikit-Learn,Spark ML,Python,SQL,Redshift,and knowledge of AWS environment
Perform online reporting,collection and analysis of digital metrics,process large clickstream data sets from Google Analytics / Big query to provide online user experience improvementExperience using machine learning libraries or platforms such as Tensorflow, Scikit-Learn, Spark ML, Python, SQL, Redshift, and knowledge of AWS environment.
Synthesize large volumes of data with attention to granular details and present findings and recommendations to senior-level stakeholders using advanced modelling algorithm.
Perform online reporting, collection and analysis of digital metrics, process large clickstream data sets from Google Analytics/Big query to provide online user experience improvement.
Show More
Report",₹5L - ₹8L,1 to 50 Employees,Company - Private,Information Technology,Computer Hardware Development,2014,Unknown / Non-Applicable
576,ThinkAI India Consulting Pvt Ltd,Data Analyst,Indore,"Responsibilities:
· Proficiency in SQL for data extraction, manipulation, and querying from relational databases.
· Strong programming skills in Python for data analysis, manipulation, and automation tasks.
· Advanced proficiency in Microsoft Excel and Google Sheets for data analysis and reporting.
· Experience with data visualization tools such as Power BI, Tableau, or similar platforms to create insightful and interactive dashboards.
· Strong analytical and problem-solving skills, with the ability to work with complex and unstructured datasets.
· Excellent communication skills, both written and verbal, with the ability to present findings to non-technical stakeholders.
Show More
Report",₹12L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
577,Iplotlabs,"Data science, python, AI and SQL training",Chennai,"We are enrolling candidates for providing software training and placement references.
Do project and get certification in software course with internship certificate
Courses offered:
Python, SQL, Data science with python, Data science with AI, Antenna design and Full stack developer
Eligibility: Any degree
Contact: 9790951108
Job Types: Full-time, Part-time, Fresher, Internship, Freelance
Show More
Report",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
578,ONLEI Technologies,Data Science Trainer,Remote,"As a Data Science & Analytics trainer, you will be responsible for training college students , freshers and Professionals . We are looking to hire a Data Science Trainer .
Freshers can Apply
Work From Home/Office
Show More
Report",#N/A,201 to 500 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
579,"X-YUG Technologies
2.1",Artificial Intelligence (AI) Engineer,India,"We are seeking a highly skilled and motivated AI Engineer to join our dynamic team and contribute to the development and implementation of cutting-edge artificial intelligence solutions. As an AI Engineer, you will play a pivotal role in designing, building, and deploying AI-powered applications that solve complex problems and enhance user experiences.
Key Responsibilities:
1. Algorithm Development: Design, develop, and optimize machine learning and deep learning algorithms to solve a wide range of problems, such as natural language processing, computer vision, recommendation systems, and more.
2. Model Training and Evaluation: Train, fine-tune, and validate machine learning models using large datasets. Implement techniques for model evaluation, validation, and testing to ensure high performance and reliability.
models.
libraries and frameworks (e.g., TensorFlow, PyTorch, scikit-learn).
techniques.
documentation.
technologies.
or other specialized AI domains.
Show More
Report",₹1L,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
580,"American Express Global Business Travel
3.9",BI Analyst,India,"Amex GBT is a place where colleagues find inspiration in travel as a force for good and – through their work – can make an impact on our industry. We’re here to help our colleagues achieve success and offer an inclusive and collaborative culture where your voice is valued.

Ready to explore a career path? Start your journey.
American Express Global Business Travel (GBT) equips companies of all sizes with the insights, tools, services and expertise they need to keep their travelers informed, focused and productive while on the road. With approximately 18,000 employees and operations in nearly 140 countries worldwide, American Express GBT empowers customers to take control of their travel programs, optimizing the return on their travel and meetings investments, while, more importantly, providing extraordinary traveler care.
American Express Global Business Travel (GBT) is a global leader in business travel and meetings management committed to helping business succeed through cost-effective program management, world-class customer service, and enhanced traveller productivity support worldwide. GBT brings the talent, tools, and management consulting acumen needed to help manage companies’ T&E spend and maximize the return on their investments in employee travel and other areas of indirect cost. Specialized expertise includes: T&E policy, sourcing and supplier management, change management and compliance management, business intelligence, on-going travel category management, payment and expense reimbursement management, and related business process outsourcing (BPO) best practices.

India - Virtual Location

Show More
Report",#N/A,10000+ Employees,Company - Public,Hotel & Travel Accommodation,Travel Agencies,1915,Unknown / Non-Applicable
581,Midas Fintech Solutions Private Limited,Artificial Intelligence and Machine Learning Trainee,Mumbai,"inPosition Overview:
As an Artificial Intelligence and Machine Learning Trainee, you will have the opportunity to work closely with our AI and ML experts to gain hands-on experience in the development, implementation, and refinement of cutting-edge AI and ML solutions. The trainee period will provide you with valuable exposure to real-world projects, data analysis, algorithm development, and collaboration with cross-functional teams.
Responsibilities:
Data Preprocessing and Analysis: Assist in collecting, cleaning, and preparing data for AI and ML models. Perform exploratory data analysis to gain insights into data patterns and quality.
Algorithm Development: Collaborate with senior team members to design, implement, and refine machine learning algorithms. This may include tasks like feature engineering, model selection, and hyperparameter tuning.

Show More
Report",₹30T - ₹50T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
582,Findability Sciences,Power BI - Snowflake consultant,Remote,"Role : Power BI - Snowflake Consultant
Location : Remote
Shift : 1:30 PM till 9:30 or 10:30 PM IST for US team coordination
Experience : 4+ years
Looking for Strong Power BI resource with Snowflake developer skillsets (Snowflake can be a developer skill set).
Work distribution will be more on Power BI and less on Snowflake.
On the AWS connect reporting project, the resource will perform the following functions:


Show More
Report",₹5L - ₹16L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
583,Strivik Business Solutions Private Limited,Data Analyst,Mumbai,"Research Analyst Job Description Template
We are looking for an analytical and detail-oriented research analyst to assist in improving the operations and decision-making of our business. The research analyst's responsibilities include researching, collecting, analyzing, and interpreting data, and using the data to guide the business's decision-making. A research analyst should be prepared to work in various sectors, such as marketing, business operations, and finance.
To be a successful research analyst, you should have excellent mathematical, critical thinking, and communication skills. You should be flexible and able to work independently or in a team.
Business Research & Data Analyst Responsibilities:
· Analyzing past operations' results and performing variance analyses.

Show More
Report",₹2L - ₹5L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
584,"Skill-Lync
3.6",Data Science Masters course,Sāngli,"Wanting to Sell my Course which I have taken from Skill Lync.
Anyone who wishes to do Masters course in Data Science and Data Analytics can connect me.
The course on website with premium & lifetime access is 2.75 Lakh.
Will transfer the rights through company one we crack the deal.
You will get the master in cheap.
You can also switch the masters if you want it in other verticals like electro ics mechanical or civil courses. Whichever is available on the Skill lync platform.
Job Type: Full-time

Show More
Report",₹80T - ₹1L,1001 to 5000 Employees,Company - Private,Education,Colleges & Universities,2018,Unknown / Non-Applicable
585,"AceNgage Infoservices
4.0",Data Analytics - Power BI Specialist,Bengaluru,"Essential functions and responsibilities:
 Design and develop dashboards that cater to the business requirement.
 Create visual storyboard(s) to highlight business metrics and KPI’s in Power BI including usage of DAX language
 Break down the business problems into workable dashboard models. Design layouts to cater to the key metrics.
 Create innovative, interactive dashboards and scorecards for key performance indicators that are tailored to customers
 Build intuitive dashboards to illustrate results from predictive models for advanced analytics projects

Show More
Report",₹5L - ₹15L,1 to 50 Employees,Company - Private,Management & Consulting,Business Consulting,2007,$1 to $5 million (USD)
586,"F(x) Data Labs PVT LTD
4.6",Data Science Engineer,Ahmedabad,"We are looking for a Data Scientist who will support our product, sales, leadership and marketing teams with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have knowledge of using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.
Responsibilities for Data Scientist
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.


Show More
Report",₹5L - ₹7L,1 to 50 Employees,Company - Private,Information Technology,Information Technology Support Services,2015,Unknown / Non-Applicable
587,"Technip Energies
3.9",Graduate Trainee - Data Analytics,Noida,"About Technip Energies
At Technip Energies, we believe in a better tomorrow and we believe we can make tomorrow better. With approximately 15,000 talented women and men, we are a global and leading engineering and technology company, with a clear vision to accelerate the energy transition. Designing and delivering added value energy solutions is what we do.
Global Business Services India
At Technip Energies, we are continually looking for ways to become more efficient, and ways to improve our quality, customer focus and cost competitiveness. The Global Business Services (GBS) organization is key to executing this strategy, by standardizing our processes and centralizing our services.

Our Vision : A customer focused, cost efficient, innovative, and high performing organization that drives functional excellence.

Show More
Report",₹5L - ₹9L ,10000+ Employees,Company - Private,"Energy, Mining, Utilities",Energy & Utilities,2021,$5 to $10 billion (USD)
588,S INFOZ SOLUTIONS PVT. LTD,DATA SCIENCE TRAINER,Hyderābād,"PERSON AS TO TRAIN STUDENTS ON PYTHON AND DATA SCIENCE.
Job Type: Full-time
Salary: From ₹50,000.00 per month
Benefits:
Health insurance
Provident Fund
Schedule:
Day shift

Show More
Report",₹50T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
